# Photoionisation rates from Table D.6 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
Mg,5.994000e+01,5.913000e+01,5.933250e+01
MgH,0.000000e+00,0.000000e+00,0.000000e+00
Mn,1.745000e+01,1.756000e+01,1.753250e+01
N,1.293000e+00,1.112000e+00,1.157250e+00
N2,2.169000e-01,1.648000e-01,1.778250e-01
N2O,1.702000e+02,1.701000e+02,1.701250e+02
NH,1.099000e+01,9.642000e+00,9.979000e+00
NH+,0.000000e+00,0.000000e+00,0.000000e+00
NH2,9.378000e+01,9.252000e+01,9.283500e+01
NH2CHO,5.442000e+02,5.388000e+02,5.401500e+02
NH3,2.712000e+02,2.734000e+02,2.728500e+02
NO,2.585000e+02,2.594000e+02,2.591750e+02
NO2,1.532000e+02,1.506000e+02,1.512500e+02
Na,8.980000e+00,9.013000e+00,9.004750e+00
NaCl,0.000000e+00,0.000000e+00,0.000000e+00
NaH,0.000000e+00,0.000000e+00,0.000000e+00
Ni,5.949000e+01,6.067000e+01,6.037500e+01
O,3.623000e+00,3.223000e+00,3.323000e+00
O2,5.020000e+01,4.099000e+01,4.329250e+01
O2+,0.000000e+00,0.000000e+00,0.000000e+00
O3,4.937000e+01,4.610000e+01,4.691750e+01
OCS,7.827000e+02,7.553000e+02,7.621500e+02
OH,2.454000e+01,2.379000e+01,2.397750e+01
OH+,0.000000e+00,0.000000e+00,0.000000e+00
P,1.907000e+03,1.951000e+03,1.940000e+03
PH,0.000000e+00,0.000000e+00,0.000000e+00
PH+,0.000000e+00,0.000000e+00,0.000000e+00
Rb,1.424000e+01,1.435000e+01,1.432250e+01
S,1.162000e+03,1.061000e+03,1.086250e+03
S2,2.317000e+03,2.365000e+03,2.353000e+03
SH,1.311000e+03,1.333000e+03,1.327500e+03
SH+,0.000000e+00,0.000000e+00,0.000000e+00
SO,5.796000e+02,6.201000e+02,6.099750e+02
SO2,1.576000e+02,1.465000e+02,1.492750e+02
Si,2.703000e+03,2.670000e+03,2.678250e+03
SiH,4.380000e+03,4.397000e+03,4.392750e+03
SiH+,0.000000e+00,0.000000e+00,0.000000e+00
SiO,0.000000e+00,0.000000e+00,0.000000e+00
Ti,1.798000e+02,1.818000e+02,1.813000e+02
Zn,6.334000e+02,4.563000e+02,5.005750e+02
c-C3H,1.367000e+03,1.384000e+03,1.379750e+03
c-C3H2,1.707000e+03,1.732000e+03,1.725750e+03
l-C3H,1.401000e+03,1.420000e+03,1.415250e+03
l-C3H2,0.000000e+00,0.000000e+00,0.000000e+00
l-C4,0.000000e+00,0.000000e+00,0.000000e+00
l-C4H,0.000000e+00,0.000000e+00,0.000000e+00
l-C5H,0.000000e+00,0.000000e+00,0.000000e+00
